vowel,time_index,v_time,time_abs,F1,F2,F3
ih,1,0,1.172,431,2046,2704
ih,2,0.011,1.183,445,2201,2914
ih,3,0.022,1.194,450,2210,3112
ih,4,0.033,1.205,452,2256,3174
ih,5,0.045,1.217,448,2282,3220
ih,6,0.056,1.228,436,2264,3207
ih,7,0.067,1.239,412,2294,3140
ih,8,0.078,1.25,399,2212,3169
ih,9,0.089,1.261,380,2171,3193
ih,10,0.1,1.272,350,2313,2939
ih,1,0,1.808,416,2280,2957
ih,2,0.013,1.821,425,2341,3001
ih,3,0.026,1.834,429,2360,3051
ih,4,0.039,1.847,442,2377,3110
ih,5,0.051,1.86,458,2374,3147
ih,6,0.064,1.873,446,2328,3108
ih,7,0.077,1.885,397,2305,3089
ih,8,0.09,1.898,359,2175,2993
ih,9,0.103,1.911,317,2174,2907
ih,10,0.116,1.924,290,2270,2905
ih,1,0,2.377,394,2228,2777
ih,2,0.009,2.385,397,2208,2824
ih,3,0.017,2.394,402,2207,2926
ih,4,0.026,2.402,415,2224,3087
ih,5,0.034,2.411,431,2236,3159
ih,6,0.043,2.419,442,2282,3172
ih,7,0.051,2.428,438,2333,3163
ih,8,0.06,2.437,429,2313,3125
ih,9,0.068,2.445,411,2256,3075
ih,10,0.077,2.454,389,2194,3024
eh,1,0,2.983,725,1713,2586
eh,2,0.015,2.998,709,1702,2519
eh,3,0.03,3.013,704,1722,2459
eh,4,0.044,3.027,704,1745,2460
eh,5,0.059,3.042,671,1740,2573
eh,6,0.074,3.057,687,1771,2646
eh,7,0.089,3.072,675,1759,2618
eh,8,0.103,3.087,576,1731,2552
eh,9,0.118,3.101,517,1699,2527
eh,10,0.133,3.116,443,1683,2537
eh,1,0,3.605,656,1666,2486
eh,2,0.009,3.614,657,1705,2579
eh,3,0.018,3.623,680,1776,2680
eh,4,0.026,3.632,694,1831,2700
eh,5,0.035,3.64,700,1857,2711
eh,6,0.044,3.649,687,1851,2708
eh,7,0.053,3.658,666,1831,2708
eh,8,0.061,3.667,642,1810,2722
eh,9,0.07,3.676,585,1781,2719
eh,10,0.079,3.684,523,1753,2691
eh,1,0,4.187,657,1743,2539
eh,2,0.012,4.198,640,1722,2511
eh,3,0.023,4.21,625,1756,2533
eh,4,0.035,4.222,605,1767,2528
eh,5,0.046,4.233,594,1768,2526
eh,6,0.058,4.245,595,1800,2536
eh,7,0.069,4.256,584,1812,2541
eh,8,0.081,4.268,582,1773,2543
eh,9,0.092,4.279,536,1743,2527
eh,10,0.104,4.291,461,1842,2519
ae,1,0,4.815,818,1688,2359
ae,2,0.012,4.827,834,1685,2343
ae,3,0.023,4.839,835,1675,2349
ae,4,0.035,4.85,824,1686,2343
ae,5,0.046,4.862,824,1685,2349
ae,6,0.058,4.873,821,1667,2393
ae,7,0.069,4.885,807,1659,2418
ae,8,0.081,4.896,759,1630,2438
ae,9,0.092,4.908,699,1607,2421
ae,10,0.104,4.919,656,1623,2402
ae,1,0,5.391,770,1573,2385
ae,2,0.009,5.4,767,1559,2316
ae,3,0.018,5.409,753,1556,2369
ae,4,0.028,5.418,747,1563,2424
ae,5,0.037,5.427,736,1568,2440
ae,6,0.046,5.437,726,1562,2426
ae,7,0.055,5.446,702,1556,2390
ae,8,0.064,5.455,661,1542,2362
ae,9,0.074,5.464,625,1530,2356
ae,10,0.083,5.473,607,1529,2373
ae,1,0,5.95,796,1638,2442
ae,2,0.006,5.956,797,1635,2408
ae,3,0.013,5.963,802,1634,2391
ae,4,0.019,5.969,813,1633,2407
ae,5,0.026,5.975,816,1637,2427
ae,6,0.032,5.982,816,1640,2441
ae,7,0.039,5.988,816,1637,2434
ae,8,0.045,5.995,814,1649,2435
ae,9,0.051,6.001,807,1667,2443
ae,10,0.058,6.008,780,1673,2476
uh,1,0,6.495,364,1754,3112
uh,2,0.005,6.5,373,1755,3126
uh,3,0.01,6.505,373,1779,3118
uh,4,0.015,6.51,372,1806,3108
uh,5,0.021,6.515,367,1853,3097
uh,6,0.026,6.521,362,1905,3081
uh,7,0.031,6.526,363,2040,2991
uh,8,0.036,6.531,366,2167,2917
uh,9,0.041,6.536,385,2232,2996
uh,10,0.046,6.541,400,2287,3057
uh,1,0,7.016,477,2105,3073
uh,2,0.006,7.022,482,2107,3070
uh,3,0.012,7.028,485,2083,3010
uh,4,0.018,7.034,486,2075,2960
uh,5,0.024,7.04,486,2077,2916
uh,6,0.03,7.046,481,2060,2919
uh,7,0.036,7.052,476,2042,2944
uh,8,0.042,7.058,466,2027,3026
uh,9,0.048,7.064,462,1984,3116
uh,10,0.054,7.07,461,1920,3213
uh,1,0,7.517,394,1899,2909
uh,2,0.006,7.523,406,1877,2761
uh,3,0.012,7.529,424,1854,2745
uh,4,0.018,7.535,432,1828,2920
uh,5,0.024,7.541,437,1803,3124
uh,6,0.03,7.547,443,1792,3191
uh,7,0.036,7.553,449,1789,3197
uh,8,0.042,7.559,454,1794,3129
uh,9,0.048,7.565,448,1791,2994
uh,10,0.054,7.571,439,1784,2855
